UNIX timestamp [s],Time UTC,Power [W]
1605181071,2020-11-12 11:37:51,-4.3350717245520585
1605181131,2020-11-12 11:38:51,-4.338039449783523
1605181191,2020-11-12 11:39:51,-4.3262546684500585
1605181251,2020-11-12 11:40:51,-4.308497420670303
1605181311,2020-11-12 11:41:51,-4.340266683418389
1605181371,2020-11-12 11:42:51,-4.329874333958912
1605181431,2020-11-12 11:43:51,-4.343639040008983
1605181491,2020-11-12 11:44:51,-4.353444109725242
1605181551,2020-11-12 11:45:51,-4.329138582326027
1605181611,2020-11-12 11:46:51,-4.329086293420513
1605181671,2020-11-12 11:47:51,-4.341002678723768
1605181731,2020-11-12 11:48:51,-4.322127949366619
1605181791,2020-11-12 11:49:51,-4.344344976096593
1605181851,2020-11-12 11:50:51,-4.335418599690758
1605181911,2020-11-12 11:51:51,-4.336332746909444
1605181971,2020-11-12 11:52:51,-4.31511923657589
1605182031,2020-11-12 11:53:51,-4.343889542843356
1605182091,2020-11-12 11:54:51,-4.337035300823274
1605182152,2020-11-12 11:55:52,-4.332567399391297
1605182212,2020-11-12 11:56:52,-4.309612323685887
1605182272,2020-11-12 11:57:52,-4.338334530769342
1605182332,2020-11-12 11:58:52,-4.307066965769004
1605182392,2020-11-12 11:59:52,-4.352887160213029
1605182452,2020-11-12 12:00:52,-4.3076268269155085
1605182512,2020-11-12 12:01:52,-4.3442836501330895
1605182572,2020-11-12 12:02:52,-4.340775074325968
1605182632,2020-11-12 12:03:52,-4.341773550025208
1605182692,2020-11-12 12:04:52,-4.313904228934822
1605182752,2020-11-12 12:05:52,-4.343596320520724
1605182812,2020-11-12 12:06:52,-4.338471444324571
1605182872,2020-11-12 12:07:52,-4.327104710075785
1605182932,2020-11-12 12:08:52,-4.330739101706541
1605182992,2020-11-12 12:09:52,-4.343995750071164
1605183052,2020-11-12 12:10:52,-4.333349972689612
1605183112,2020-11-12 12:11:52,-4.32186585780424
1605183172,2020-11-12 12:12:52,-4.327210101809539
1605183232,2020-11-12 12:13:52,-4.316567604526619
1605183292,2020-11-12 12:14:52,-4.323252950881404
1605183352,2020-11-12 12:15:52,-4.312451528707515
1605183412,2020-11-12 12:16:52,-4.337784980383374
1605183472,2020-11-12 12:17:52,-4.352975126077763
1605183532,2020-11-12 12:18:52,-4.321142609400815
1605183592,2020-11-12 12:19:52,-4.349361951134719
1605183652,2020-11-12 12:20:52,-4.328199483150392
1605183713,2020-11-12 12:21:53,-4.317579816333729
1605183773,2020-11-12 12:22:53,-4.320210675106733
1605183833,2020-11-12 12:23:53,-4.333149670222649
1605183893,2020-11-12 12:24:53,-4.350212414634298
1605183953,2020-11-12 12:25:53,-4.346083337525902
1605184013,2020-11-12 12:26:53,-4.339633151092686
1605184073,2020-11-12 12:27:53,-4.343315910092371
1605184133,2020-11-12 12:28:53,-4.3392820498529305
1605184193,2020-11-12 12:29:53,-4.329777019094063
1605184253,2020-11-12 12:30:53,-4.351734200663866
1605184313,2020-11-12 12:31:53,-4.339233161378329
1605184373,2020-11-12 12:32:53,-4.340617215410546
1605184433,2020-11-12 12:33:53,-4.311955083993103
1605184493,2020-11-12 12:34:53,-4.31456333463249
1605184553,2020-11-12 12:35:53,-4.323809995719645
1605184613,2020-11-12 12:36:53,-4.3331180764202895
1605184673,2020-11-12 12:37:53,-4.310630432598129
1605184733,2020-11-12 12:38:53,-4.310217480667681
1605184793,2020-11-12 12:39:53,-4.330538650129896
1605184853,2020-11-12 12:40:53,-4.3418106969658
1605184913,2020-11-12 12:41:53,-4.331924301239898
1605184973,2020-11-12 12:42:53,-4.3322245849173076
1605185033,2020-11-12 12:43:53,-4.323583614907113
1605185093,2020-11-12 12:44:53,-4.339785585612383
1605185154,2020-11-12 12:45:54,-4.321664668655471
1605185214,2020-11-12 12:46:54,-4.328108766179215
1605185274,2020-11-12 12:47:54,-4.335327285203402
1605185334,2020-11-12 12:48:54,-4.333936182790899
1605185394,2020-11-12 12:49:54,-4.322045122099066
1605185454,2020-11-12 12:50:54,-4.339185007078825
